#ZEITBEREICH: 08.06.2015 bis 08.06.2016
Datum;Zeit;AABU NO2 AM1H [µg/m³];BIEL NO2 AM1H [µg/m³];BONN NO2 AM1H [µg/m³];BORG NO2 AM1H [µg/m³];BOTT NO2 AM1H [µg/m³];CHOR NO2 AM1H [µg/m³];DATT NO2 AM1H [µg/m³];DDCS NO2 AM1H [µg/m³];DMD2 NO2 AM1H [µg/m³];DUB2 NO2 AM1H [µg/m³];EIFE NO2 AM1H [µg/m³];ELAN NO2 AM1H [µg/m³];EVOG NO2 AM1H [µg/m³];GELS NO2 AM1H [µg/m³];HATT NO2 AM1H [µg/m³];HUE2 NO2 AM1H [µg/m³];JACK NO2 AM1H [µg/m³];JHNK NO2 AM1H [µg/m³];KRHA NO2 AM1H [µg/m³];LEV2 NO2 AM1H [µg/m³];LOER NO2 AM1H [µg/m³];MSGE NO2 AM1H [µg/m³];NETT NO2 AM1H [µg/m³];NIED NO2 AM1H [µg/m³];RAT2 NO2 AM1H [µg/m³];RODE NO2 AM1H [µg/m³];ROTH NO2 AM1H [µg/m³];SHW2 NO2 AM1H [µg/m³];SOES NO2 AM1H [µg/m³];SOLI NO2 AM1H [µg/m³];STYR NO2 AM1H [µg/m³];UNNA NO2 AM1H [µg/m³];VACW NO2 AM1H [µg/m³];VBID NO2 AM1H [µg/m³];VDOM NO2 AM1H [µg/m³];VDOR NO2 AM1H [µg/m³];VDUI NO2 AM1H [µg/m³];VEAE NO2 AM1H [µg/m³];VESN NO2 AM1H [µg/m³];VGES NO2 AM1H [µg/m³];VGLG NO2 AM1H [µg/m³];VHAM NO2 AM1H [µg/m³];VKCL NO2 AM1H [µg/m³];VKTU NO2 AM1H [µg/m³];VLEG NO2 AM1H [µg/m³];VMGF NO2 AM1H [µg/m³];VMGR NO2 AM1H [µg/m³];VMS2 NO2 AM1H [µg/m³];VOBM NO2 AM1H [µg/m³];VWEL NO2 AM1H [µg/m³];WALS NO2 AM1H [µg/m³];WAST NO2 AM1H [µg/m³];WESE NO2 AM1H [µg/m³];WULA NO2 AM1H [µg/m³]
08.06.2015;01:00;<10;<10;12;;<10;<10;<10;21;<10;37;<10;17;16;12;<10;<10;<10;<10;14;13;<10;<10;<10;;<10;12;<10;<10;<10;;<10;13;15;<10;15;<10;<10;17;;14;;;21;18;34;;<10;<10;12;10;<10;<10;<10;<10
08.06.2015;02:00;<10;<10;11;<10;<10;<10;<10;17;11;41;<10;13;<10;;<10;10;<10;<10;13;12;<10;<10;<10;<10;11;14;<10;<10;<10;<10;<10;<10;13;;15;;11;;;22;;<10;17;20;26;12;<10;<10;12;<10;<10;<10;<10;<10
08.06.2015;03:00;<10;<10;<10;<10;<10;<10;<10;12;16;43;<10;19;<10;<10;<10;11;<10;<10;<10;<10;<10;<10;<10;<10;11;13;<10;10;<10;<10;<10;<10;13;<10;20;<10;19;17;;22;;<10;22;18;12;<10;<10;<10;13;12;<10;<10;<10;<10
08.06.2015;04:00;<10;11;10;<10;<10;<10;<10;13;18;55;11;21;11;21;<10;<10;;12;18;11;<10;<10;11;<10;11;12;<10;16;<10;11;<10;37;18;<10;21;<10;21;21;;25;;26;26;17;13;11;<10;13;22;18;<10;<10;<10;
08.06.2015;05:00;12;25;16;<10;16;<10;<10;32;;54;12;28;18;37;<10;19;19;13;22;13;<10;13;19;<10;;27;<10;28;<10;14;20;25;39;27;35;24;31;36;;51;;46;49;31;46;19;13;32;34;25;12;25;12;17
08.06.2015;06:00;17;28;22;<10;16;11;<10;35;31;49;<10;41;25;35;14;31;23;;25;26;21;18;19;<10;21;42;<10;28;16;25;27;26;57;44;34;32;50;47;;58;;58;54;45;51;26;21;46;53;42;15;;12;31
08.06.2015;07:00;24;35;18;<10;13;14;10;49;27;31;12;38;24;25;19;22;21;20;28;24;20;17;17;<10;23;33;<10;26;<10;27;23;18;54;57;50;21;52;59;;46;;78;86;54;43;31;24;50;52;36;13;<10;<10;23
08.06.2015;08:00;27;31;17;<10;<10;14;<10;37;16;26;15;15;17;13;20;17;19;18;25;25;15;12;<10;<10;16;27;<10;19;<10;24;14;<10;43;53;48;22;42;53;;30;;67;90;43;;23;18;47;21;41;<10;11;<10;16
08.06.2015;09:00;22;21;13;<10;<10;12;<10;30;10;31;18;16;14;<10;16;;<10;16;23;18;10;<10;<10;<10;12;22;<10;10;<10;18;11;<10;44;49;45;17;43;34;;29;;53;71;42;35;21;18;25;36;30;<10;<10;<10;
08.06.2015;10:00;19;16;<10;<10;<10;<10;<10;38;11;;21;14;13;<10;13;18;10;16;14;17;<10;<10;<10;<10;<10;15;<10;<10;<10;19;13;<10;36;30;33;13;28;46;;31;;54;68;38;29;25;19;30;32;32;<10;<10;<10;
